Nome,Data,Alta,Baixa,Aberto,Fechado,Volume,Valor de Mercado
Bitcoin,2015/01/01,320.4349975585937,314.00299072265625,320.4349975585937,314.2489929199219,8036550,4297535768
XRP,2015/01/01,0.0244548991322517,0.0242046006023883,0.0244548991322517,0.0243900995701551,399022,755558352
Dash,2015/01/01,1.97,1.93,1.97,1.94,14957,9860760
Monero,2015/01/01,0.4672999978065491,0.4193609952926636,0.4362410008907318,0.4657599925994873,25000,2561247
Stellar,2015/01/01,0.005550819914788,0.0054055298678576,0.0055174799636006,0.0054934499785304,20514,19541316
Litecoin,2015/01/01,2.724210023880005,2.689769983291626,2.724210023880005,2.699049949645996,770693,95086868
Monero,2015/01/02,0.4880380034446716,0.434143990278244,0.4732719957828522,0.4591369926929474,34884,2525172
Dash,2015/01/02,1.95,1.9,1.94,1.94,33549,9710140
Bitcoin,2015/01/02,315.8389892578125,313.56500244140625,314.0790100097656,315.0320129394531,7860650,4309551126
XRP,2015/01/02,0.024422999471426,0.0243091993033885,0.0243771001696586,0.0243184994906187,459956,753340322
Litecoin,2015/01/02,2.69923996925354,2.6638500690460205,2.697429895401001,2.6673600673675537,855392,94048724
Stellar,2015/01/02,0.0056049101985991,0.0054235798306763,0.0054375398904085,0.0054813800379633,55381,19501686
Bitcoin,2015/01/03,315.1499938964844,281.0820007324219,314.84600830078125,281.0820007324219,33054400,3846269872
Litecoin,2015/01/03,2.6664600372314453,2.13316011428833,2.6664600372314453,2.13316011428833,5193080,75275386
Dash,2015/01/03,1.97,1.72,1.94,1.72,62136,9706160
Stellar,2015/01/03,0.0054937400855124,0.0046691498719155,0.0054725101217627,0.0046716998331248,135921,16623962
Monero,2015/01/03,0.4902549982070923,0.4516009986400604,0.4591729938983917,0.4611720144748688,42366,2552051
XRP,2015/01/03,0.0243168007582426,0.0221059005707502,0.0242973994463682,0.0221059005707502,2171040,684798233
Monero,2015/01/04,0.4677900075912475,0.3980950117111206,0.466618001461029,0.4172340035438537,29438,2316421
Bitcoin,2015/01/04,287.2300109863281,257.61199951171875,281.14599609375,264.19500732421875,55629100,3616320975
XRP,2015/01/04,0.0221421997994184,0.0188279002904891,0.0221001002937555,0.0189279001206159,3801010,586349910
Dash,2015/01/04,1.74,1.56,1.72,1.63,60683,8596550
Litecoin,2015/01/04,2.154459953308105,1.912410020828247,2.110219955444336,1.9566800594329836,3888140,69101043
Stellar,2015/01/04,0.0047730798833072,0.0042525501921772,0.0045717097818851,0.0044162399135529,137593,15717675
Stellar,2015/01/05,0.0050940299406647,0.0044099199585616,0.0044219200499355,0.0049474700354039,144416,17611701
Monero,2015/01/05,0.4472889900207519,0.3930239975452423,0.4113759994506836,0.4214119911193847,35008,2346913
Dash,2015/01/05,1.69,1.61,1.63,1.67,43764,8171360
Litecoin,2015/01/05,2.16048002243042,1.9580299854278564,1.9580299854278564,2.08218002319336,10649500,73586957
XRP,2015/01/05,0.0203159991651773,0.0188902001827955,0.0189430993050336,0.0203159991651773,3051930,629350576
Bitcoin,2015/01/05,278.34100341796875,265.0840148925781,265.0840148925781,274.4739990234375,43962800,3758098008
XRP,2015/01/06,0.0207451004534959,0.0202821996062994,0.0203252006322145,0.0207320991903543,1752160,642240553
Stellar,2015/01/06,0.0050054001621901,0.0047809798270463,0.0049686501733958,0.0049721500836312,73403,17703226
Dash,2015/01/06,1.72,1.63,1.67,1.72,31130,8386380
Monero,2015/01/06,0.4772869944572449,0.4096440076828003,0.4216200113296509,0.4616090059280395,34746,2578185
Litecoin,2015/01/06,2.1182401180267334,2.0445399284362797,2.0843400955200195,2.1121199131011963,3242950,74701680
Bitcoin,2015/01/06,287.5530090332031,272.6960144042969,274.6109924316406,286.1889953613281,23245700,3919623080
Bitcoin,2015/01/07,298.7539978027344,283.0790100097656,286.0769958496094,294.3370056152344,24866800,4032255015
XRP,2015/01/07,0.0208994001150131,0.020491600036621,0.0207272991538047,0.0208432991057634,787462,645685315
Dash,2015/01/07,1.75,1.69,1.72,1.72,28206,8606930
Monero,2015/01/07,0.4774430096149444,0.4464020133018493,0.4616140127182007,0.4636070132255554,21150,2597527
Litecoin,2015/01/07,2.149869918823242,2.0811400413513184,2.1180999279022217,2.1181800365448,3388950,74967271
Stellar,2015/01/07,0.0052838400006294,0.0048992200754582,0.0049720699898898,0.0052838400006294,84601,18817350
Dash,2015/01/08,1.74,1.68,1.71,1.72,38890,8594610
XRP,2015/01/08,0.0209165997803211,0.0206678993999958,0.0208426993340253,0.0206760000437498,823446,640502683
Monero,2015/01/08,0.4720869958400726,0.4291259944438934,0.4720869958400726,0.4291749894618988,18235,2412051
Litecoin,2015/01/08,2.123500108718872,2.001849889755249,2.115609884262085,2.0080699920654297,2924520,71126149
Stellar,2015/01/08,0.0058404100127518,0.0052091898396611,0.0052827601321041,0.0055665899999439,222723,19828783
Bitcoin,2015/01/08,294.135009765625,282.17498779296875,294.135009765625,283.3489990234375,19982500,3882766766
XRP,2015/01/09,0.0206652991473674,0.0205121003091335,0.0206500999629497,0.020576000213623,1092300,637404875
Monero,2015/01/09,0.4414860010147095,0.4132620096206665,0.4284259974956512,0.4318009912967682,15357,2433376
Litecoin,2015/01/09,2.0112900733947754,1.9586299657821653,2.0100200176239014,1.9833600521087649,1951160,70301691
Dash,2015/01/09,1.74,1.69,1.72,1.71,45656,8616520
Stellar,2015/01/09,0.0056450399570167,0.0053206798620522,0.0055566597729921,0.0056221801787614,83886,20030876
Bitcoin,2015/01/09,291.114013671875,280.5329895019531,282.38299560546875,290.4079895019531,18718600,3980426431
